restaurant_id,cuisine
1,North Indian
1,Continental
1,Asian
1,Finger Food
2,North Indian
2,Mughlai
3,Mediterranean
3,Asian
3,North Indian
4,Asian
4,European
4,North Indian
5,Finger Food
5,Continental
6,Salad
6,Asian
6,Malaysian
6,Vietnamese
6,Thai
6,Chinese
7,North Indian
8,Thai
8,Japanese
8,Chinese
9,European
9,Asian
9,North Indian
10,Mughlai
10,Biryani
10,Kebab
10,North Indian
11,Italian
11,Continental
12,Asian
13,Bar Food
13,Mughlai
13,North Indian
14,North Indian
14,European
14,Italian
15,Kebab
15,Seafood
15,North Indian
16,Fast Food
16,Finger Food
17,Asian
18,Finger Food
19,Continental
19,Asian
19,North Indian
20,Healthy Food
20,Italian
20,North Indian
20,Continental
21,Finger Food
21,Continental
22,Biryani
22,Kebab
22,North Indian
23,Mexican
23,Kebab
23,Bar Food
24,Fast Food
24,North Indian
25,Asian
25,Japanese
26,Finger Food
27,Desserts
27,Salad
27,Italian
27,Mexican
27,American
28,Mughlai
28,North Indian
29,Continental
29,Asian
30,Asian
30,Chinese
31,Salad
31,Greek
31,Mediterranean
31,Italian
31,Finger Food
32,Maharashtrian
32,Mughlai
32,North Indian
33,Finger Food
34,North Indian
35,Chinese
35,North Indian
35,Beverages
35,Finger Food
36,Continental
36,Finger Food
37,Finger Food
38,North Indian
38,Maharashtrian
39,South American
39,Steak
39,Brazilian
40,Fast Food
40,Malwani
40,North Indian
40,Continental
41,Beverages
41,Fast Food
41,Mughlai
41,Continental
41,Italian
41,Healthy Food
41,North Indian
42,Chinese
42,North Indian
42,Italian
42,Bar Food
43,European
43,South Indian
43,North Indian
43,Asian
43,Italian
44,Bar Food
44,Seafood
44,Mughlai
44,North Indian
45,Beverages
45,North Indian
45,Italian
45,Continental
45,Finger Food
46,North Indian
46,Mughlai
47,Finger Food
48,Finger Food
49,North Indian
49,Continental
49,Finger Food
50,Chettinad
50,Kerala
50,Mangalorean
50,South Indian
51,Desserts
51,Continental
51,Chinese
51,North Indian
52,Beverages
52,Desserts
52,North Indian
52,Thai
52,Fast Food
52,Maharashtrian
53,Desserts
53,Italian
53,Fast Food
53,Salad
53,North Indian
53,Asian
53,Continental
54,Asian
54,North Indian
54,Italian
54,European
54,Continental
55,North Indian
56,North Indian
56,Continental
57,Finger Food
57,North Indian
58,Beverages
58,Salad
58,Pizza
58,Mexican
58,Italian
59,Asian
59,Italian
59,Mughlai
59,North Indian
59,Continental
60,European
60,North Indian
60,Chinese
61,Beverages
61,Salad
61,Pizza
61,Mexican
61,Italian
62,Beverages
62,Salad
62,Pizza
62,Mexican
62,Italian
63,Beverages
63,Mexican
63,Italian
64,Beverages
64,Mexican
64,Italian
65,Mexican
65,Italian
66,Continental
66,North Indian
66,Iranian
67,Thai
67,Seafood
67,North Indian
67,Chinese
67,Italian
67,Continental
68,Italian
68,Continental
68,Asian
68,European
69,Salad
69,South Indian
69,European
69,Italian
69,Mediterranean
69,North Indian
70,Beverages
70,Desserts
70,Italian
71,North Indian
71,Goan
71,Continental
71,Italian
72,North Indian
72,European
72,Asian
73,Beverages
73,Biryani
73,Charcoal Chicken
73,Salad
73,Desserts
73,North Indian
73,Italian
73,Continental
74,European
74,Asian
74,North Indian
75,Beverages
75,Continental
75,Cafe
76,North Indian
76,Finger Food
77,Cafe
77,Continental
77,Modern Indian
77,Asian
78,Italian
78,Continental
78,European
79,North Indian
79,Asian
79,Italian
79,Continental
79,Bar Food
80,Mughlai
80,North Indian
81,Italian
82,Chinese
82,Mughlai
82,North Indian
83,Mexican
83,Continental
83,Asian
84,Italian
84,Asian
84,South Indian
84,North Indian
85,Finger Food
86,Korean
87,Mughlai
87,North Indian
87,European
87,Finger Food
88,Chinese
88,North Indian
88,Continental
89,Bar Food
89,Asian
89,Finger Food
89,Sushi
89,Continental
89,Modern Indian
90,Mughlai
90,Continental
90,North Indian
91,American
91,Italian
91,North Indian
92,North Indian
92,Continental
92,Asian
92,Italian
93,Finger Food
94,European
94,Bar Food
94,Fast Food
95,Finger Food
96,Chinese
96,Continental
96,North Indian
97,Cantonese
97,Chinese
98,American
98,Chinese
98,South Indian
98,Mughlai
98,Continental
99,Mediterranean
99,Italian
100,North Indian
100,Chinese
100,Continental
101,Chinese
101,Mughlai
101,Malwani
101,North Indian
101,Continental
102,Finger Food
103,Italian
103,North Indian
103,Chinese
103,Continental
104,Desserts
104,Salad
104,Italian
104,Mughlai
104,Continental
104,Chinese
104,North Indian
105,Finger Food
105,Asian
105,North Indian
106,Finger Food
106,Asian
106,North Indian
107,Salad
107,Asian
107,Korean
107,Japanese
107,Vietnamese
107,Thai
107,Malaysian
108,Finger Food
108,Chinese
108,North Indian
109,Thai
109,Japanese
109,Momos
109,Sushi
109,Asian
109,Chinese
110,Beverages
110,Desserts
110,Mughlai
110,Kebab
110,Continental
110,Chinese
110,North Indian
111,Thai
111,Japanese
111,Momos
111,Sushi
111,Asian
111,Chinese
112,Thai
112,Japanese
112,Momos
112,Sushi
112,Asian
112,Chinese
113,Thai
113,Japanese
113,Sushi
113,Asian
113,Chinese
114,Thai
114,Japanese
114,Momos
114,Sushi
114,Asian
114,Chinese
115,Chinese
115,North Indian
116,Biryani
116,Mughlai
116,North Indian
117,Chinese
117,Asian
118,Desserts
118,Bakery
118,Tea
118,Cafe
119,BBQ
119,Brazilian
119,Finger Food
120,Mongolian
120,Thai
120,Chinese
121,South Indian
121,European
121,Continental
121,Finger Food
122,Maharashtrian
122,Italian
122,North Indian
122,Finger Food
122,Continental
122,Salad
123,Tex-Mex
123,Asian
123,North Indian
123,Continental
124,Finger Food
125,Continental
125,Chinese
125,North Indian
126,Mughlai
126,Continental
126,Chinese
126,North Indian
127,Mughlai
127,South Indian
127,North Indian
128,Bar Food
128,Chinese
128,North Indian
128,Italian
129,North Indian
129,Mexican
130,Asian
130,North Indian
130,European
131,Cafe
132,Finger Food
133,Italian
133,Chinese
134,Desserts
134,Chinese
134,Mediterranean
134,North Indian
134,Continental
135,Chinese
136,Finger Food
137,Finger Food
138,Sushi
138,Thai
138,Asian
139,Italian
139,Asian
139,Mughlai
139,Mexican
139,Continental
140,Italian
140,Continental
140,Finger Food
141,Desserts
141,Thai
141,Fast Food
141,Continental
141,Kebab
141,Malwani
141,Chinese
141,North Indian
142,BBQ
142,Kebab
142,Salad
142,Mughlai
142,North Indian
143,North Indian
143,Continental
144,Mughlai
144,Asian
144,Italian
144,Mexican
144,Lebanese
144,Continental
145,Continental
145,Asian
145,North Indian
145,Italian
145,Bar Food
145,Finger Food
146,Asian
146,Continental
146,Salad
146,Fast Food
146,Finger Food
146,European
147,Salad
147,North Indian
147,Mughlai
147,Asian
148,Asian
148,Seafood
148,Italian
148,Lebanese
148,Continental
148,North Indian
149,Chinese
149,Seafood
149,Continental
149,North Indian
150,Momos
150,Salad
150,Italian
150,Chinese
150,North Indian
150,Continental
151,Asian
151,Sushi
151,Japanese
152,Salad
152,North Indian
152,Italian
152,Mexican
152,Continental
153,Italian
153,Asian
153,Mediterranean
153,Chinese
153,Continental
153,European
153,North Indian
154,Continental
154,Chinese
154,North Indian
155,Cafe
156,Chinese
156,North Indian
157,Mediterranean
157,Italian
158,Continental
158,Chinese
158,North Indian
158,Finger Food
159,Chinese
159,Italian
159,North Indian
159,American
160,Fast Food
160,Chinese
160,Salad
160,North Indian
161,Continental
161,Chinese
161,North Indian
162,Beverages
162,Chinese
162,Continental
163,Desserts
163,Seafood
163,Continental
163,Chinese
163,North Indian
164,Salad
164,Mediterranean
164,Chinese
164,North Indian
164,Continental
165,Fast Food
165,Chinese
165,North Indian
166,Italian
166,European
166,Thai
166,Chinese
166,North Indian
167,Fast Food
167,Asian
167,North Indian
167,Bar Food
168,Beverages
168,Mughlai
168,North Indian
169,Street Food
169,Mexican
169,Italian
169,North Indian
170,Salad
170,American
170,Italian
170,European
171,Beverages
171,Healthy Food
171,Salad
171,Mexican
171,Continental
171,Italian
172,Seafood
172,Italian
172,North Indian
172,Continental
172,Chinese
173,Asian
173,Chinese
173,Korean
173,Thai
173,Vietnamese
173,Sushi
173,Japanese
174,Mughlai
174,North Indian
174,Continental
174,Asian
175,Beverages
175,Chinese
175,Continental
175,North Indian
176,Beverages
176,Italian
176,Continental
176,Chinese
176,North Indian
177,Italian
177,North Indian
177,Continental
178,North Indian
178,Maharashtrian
178,Seafood
179,Seafood
179,Chinese
179,Goan
179,Mughlai
179,Continental
179,Cuisine Varies
179,Cafe
180,Mughlai
180,North Indian
180,Asian
180,Continental
181,Continental
181,North Indian
182,Sandwich
182,Italian
182,Seafood
182,Chinese
182,Mughlai
182,North Indian
183,Beverages
183,Desserts
183,Mughlai
183,Kebab
183,Continental
183,Chinese
183,North Indian
184,European
184,Middle Eastern
184,Continental
184,North Indian
184,Chinese
185,Mughlai
185,Continental
185,North Indian
186,Chinese
186,Mughlai
186,North Indian
187,North Indian
188,Seafood
188,Fast Food
188,Mughlai
188,Chinese
188,North Indian
189,Salad
189,Modern Indian
189,North Indian
189,Italian
189,Finger Food
190,Chinese
190,Malwani
190,North Indian
191,Chinese
191,North Indian
191,Continental
191,Bar Food
192,North Indian
192,Chinese
193,Seafood
193,Mughlai
193,North Indian
194,Asian
194,Fast Food
194,North Indian
195,African
195,Ethiopian
196,Salad
196,North Indian
196,Chinese
196,Burger
196,Pizza
196,Italian
196,Continental
197,Modern Indian
197,Mughlai
197,Biryani
198,Continental
198,Asian
198,Italian
198,South Indian
198,North Indian
199,Thai
199,Continental
199,Chinese
199,North Indian
200,Hyderabadi
200,North Indian
200,Maharashtrian
200,Chinese
201,Bar Food
201,Fast Food
201,Chinese
201,North Indian
202,Malwani
202,Chinese
202,North Indian
202,Finger Food
203,Bar Food
203,Asian
203,North Indian
203,Continental
204,Finger Food
204,Chinese
204,Continental
204,North Indian
205,Fast Food
205,Chinese
205,North Indian
206,Salad
206,Continental
206,South Indian
206,Chinese
206,North Indian
207,Kebab
207,Chinese
207,North Indian
207,Continental
208,Bar Food
208,Continental
209,Chinese
209,North Indian
210,North Indian
210,Parsi
211,Mughlai
211,Seafood
211,Fast Food
211,Chinese
211,North Indian
212,Chinese
212,Continental
212,Finger Food
213,Desserts
213,Italian
213,Continental
213,Chinese
213,North Indian
214,Italian
214,Mexican
214,Chinese
214,North Indian
215,Finger Food
215,North Indian
215,Asian
215,Continental
216,Continental
216,American
216,Biryani
216,Chinese
216,North Indian
217,Beverages
217,Momos
217,Chinese
217,Sushi
217,Thai
217,Malaysian
218,Beverages
218,Fast Food
218,Healthy Food
218,Italian
218,Asian
218,Continental
219,Desserts
219,Continental
219,Asian
219,North Indian
219,Italian
219,European
220,Italian
220,American
220,Modern Indian
221,Mangalorean
221,Kebab
221,Seafood
221,Mexican
221,Thai
221,Continental
221,Chinese
221,North Indian
222,Salad
222,Continental
222,Finger Food
223,Beverages
223,Modern Indian
223,Continental
223,Mexican
223,Italian
224,Beverages
224,Cuisine Varies
224,Seafood
224,Continental
224,Chinese
225,Fast Food
225,Italian
225,European
226,Chinese
226,Pizza
226,Kebab
226,Continental
226,North Indian
227,Italian
227,Beverages
227,Continental
227,German
228,Bar Food
228,Chinese
228,North Indian
229,Healthy Food
229,Salad
229,Sandwich
229,Continental
229,European
229,Cafe
230,Desserts
230,Modern Indian
230,European
230,Cafe
231,Finger Food
232,Continental
232,Mexican
232,North Indian
232,Asian
232,Italian
233,Beverages
233,Salad
233,Mexican
233,Italian
234,Italian
234,Mughlai
234,Chinese
234,North Indian
235,Italian
235,Beverages
235,Continental
235,German
236,Beverages
236,Cafe
236,Italian
236,German
237,Beverages
237,Desserts
237,Cafe
237,Italian
237,Continental
237,German
238,Beverages
238,Desserts
238,Continental
239,Cafe
239,Italian
239,German
240,Continental
240,Italian
240,North Indian
240,Finger Food
241,Chinese
241,North Indian
241,American
242,Mangalorean
242,Mughlai
242,North Indian
242,Chinese
242,European
243,Thai
243,Continental
243,Italian
243,Chinese
243,North Indian
244,Italian
244,Seafood
244,Continental
244,South Indian
244,North Indian
244,Asian
245,Beverages
245,Fast Food
245,Asian
245,North Indian
245,Continental
246,Asian
246,Italian
246,North Indian
246,Continental
247,Beverages
247,North Indian
247,Fast Food
247,European
247,Italian
247,Continental
248,Chinese
248,North Indian
248,Seafood
249,Fast Food
249,Chinese
249,Mughlai
249,North Indian
250,Beverages
250,Mughlai
250,Salad
250,Continental
250,Seafood
250,Chinese
250,North Indian
251,Maharashtrian
251,Chinese
251,Italian
251,Asian
251,North Indian
252,Italian
252,Chinese
252,North Indian
253,Chinese
253,Continental
253,North Indian
254,Mexican
254,North Indian
254,Italian
254,Continental
254,Finger Food
255,Mangalorean
