"restaurant_id","restaurant_name","restaurant_type","area","dine_rating","dine_reviews","delivery_rating","delivery_reviews","cost_for_two","liked"
"1","Mix@36 - The Westin","Lounge","The Westin, Mundhwa","4.2","707","0.0","0","4300","Cocktails, Chaat, Beer"
"2","Kangan - The Westin","Fine Dining","The Westin, Mundhwa","4.1","344","0.0","0","3500","Biryani, Veg Platter, Dal Makhani, Butter Chicken, Naan, Paneer Tikka, Kulfi"
"3","Coriander Kitchen - Conrad Pune","Fine Dining","Conrad Pune, Bund Garden Road","4.5","541","0.0","0","3200","Pasta, Panipuri, Waffles, Pizza, Salad, Chaat, Noodle"
"4","The Market - The Westin","Fine Dining","The Westin, Mundhwa","4.0","55","0.0","0","3200","Vanilla Ice Cream, Chaat, Sushi"
"5","Vandaag - Vivanta Pune","Pub,Casual Dining","Vivanta Pune, Hinjewadi","3.9","113","0.0","0","3100","Cocktails, Beer, Peri Peri Chicken, Fish, Veg Platter"
"6","Baan Tao - Hyatt Pune","Fine Dining","Hyatt Pune, Nagar Road","4.5","739","0.0","0","3000","Sushi, Salad, Dumplings, Tom Yum Soup, Dimsum Lunch, Clear Soup, Chicken Dim Sum"
"7","Zeera - Conrad Pune","Fine Dining","Conrad Pune, Bund Garden Road","4.1","159","0.0","0","3000","Paan Ice Cream, Biryani, Coffee, Pindi Chole, Tikki, Garlic Naan, Thali"
"8","Koji - Conrad Pune","Fine Dining","Conrad Pune, Bund Garden Road","4.1","199","0.0","0","3000","Sushi, Cocktails, Salmon, Chicken Clay Pot, Kung Pao Chicken, Mocktails, Sashimi"
"9","Feast - Sheraton Grand","Fine Dining","Sheraton Grand, Bund Garden Road","4.5","577","0.0","0","3000","Pasta, Salad, Sea Food, Coffee, Paan Ice Cream, Fish, Lamb"
"10","Aasmana: The Ritz-Carlton","Fine Dining","Ritz Carlton, Yerwada","3.7","22","0.0","0","3000",""
"11","Kabana - Conrad Pune","Lounge","Conrad Pune, Bund Garden Road","4.0","95","0.0","0","3000","Pizza, Fish"
"12","Masu - Conrad Pune","Bar","Conrad Pune, Bund Garden Road","3.8","79","0.0","0","3000","Cocktails"
"13","Level 12 - DoubleTree By Hilton Hotel","Lounge,Fine Dining","DoubleTree By Hilton Hotel","4.2","336","0.0","0","3000","Biryani, Butter Chicken, Kulfi, Amritsari Kulcha, Chaat, Veg Platter, Mocktails"
"14","Kitsch - The O Hotel","Fine Dining","The O Hotel, Koregaon Park","3.9","227","0.0","0","2900","Salad, Pasta, Pizza, Cocktails, Aloo Tikki, Rasmalai, Cheesecake"
"15","Roof Top Bar - Sheraton Grand","Casual Dining","Bund Garden Road","3.4","21","0.0","0","2900",""
"16","Connexions Lounge & Bar - Ramada Plaza","Lounge,Bar","Ramada Plaza, Hinjewadi","3.4","19","0.0","0","2900",""
"17","Asian Harbour - Vivanta Pune","Casual Dining","Vivanta Pune, Hinjewadi","3.6","23","0.0","0","2700",""
"18","Oak Lounge - Marriott Suites Pune","Lounge","Marriott Suites Pune","4.2","845","0.0","0","2700","Cocktails, Pizza, Wine"
"19","The Cafè - Hyatt Regency Pune","Fine Dining","The Hyatt Regency, Nagar Road","4.3","675","0.0","0","2600","Salad, Sushi, Fish, Biryani, Noodle, Chaat, Panipuri"
"20","Eighty Eight - Hyatt Pune","Fine Dining","Hyatt Pune, Nagar Road","3.8","310","0.0","0","2600","Pizza, Pasta, Salad, Breakfast Buffet, Fish, Tea, Risotto"
"21","Easy - Blue Diamond","Lounge","Blue Diamond, Koregaon Park","3.5","38","0.0","0","2600",""
"22","Paasha - JW Marriott Pune","Fine Dining","JW Marriott Pune, Senapati Bapat Road","4.8","3319","0.0","0","2500","Cocktails, Mocktails, Biryani, Dal Makhani, Wine, Paneer Tikka, Murgh Peshawari"
"23","Evviva Sky Lounge - Crowne Plaza Pune City Centre","Lounge","Crowne Plaza Pune City Centre, Bund Garden Road","4.3","744","0.0","0","2500","Cocktails, Paneer Tikka, Nachos, Paratha, Mojito, Salad, Murgh Peshawari"
"24","Mosaic - Crowne Plaza Pune City Centre","Casual Dining","Crowne Plaza Pune City Centre, Bund Garden Road","4.1","294","0.0","0","2500","Roti, Salad, Chai, Dahi Vada, Coffee, Paratha, Dal Bati"
"25","Ukiyo: The Ritz-Carlton","Fine Dining","Ritz Carlton, Yerwada","3.9","21","0.0","0","2500",""
"26","Mi-a-Mi - JW Marriott Pune","Club","JW Marriott Pune, Senapati Bapat Road","4.4","2074","0.0","0","2500","Cocktails, Mocktails, Beer, Pizza, Chicken Wings, Fire Shots, Fries"
"27","TGI Fridays","Bar,Casual Dining","Seasons Mall, Magarpatta","4.1","1360","0.0","0","2500","Cocktails, Burgers, Nachos, Pizza, Pasta, Beer, Chicken Wings"
